City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,37.99,48,0,3.44,clear sky
1,Chuy,UY,-33.6971,-53.4616,67.17,60,91,4.34,overcast clouds
2,Ribeira Grande,PT,38.5167,-28.7,59.4,51,40,9.22,scattered clouds
3,Severo-Kurilsk,RU,50.6789,156.125,28.51,89,97,5.55,overcast clouds
4,Albany,US,42.6001,-73.9662,21.76,62,22,3.0,few clouds
5,Lengshuitan,CN,26.4111,111.5956,76.53,67,87,5.88,overcast clouds
6,Huilong,CN,31.8111,121.655,57.92,97,99,9.04,overcast clouds
7,Kalanguy,RU,51.0167,116.5167,3.54,95,79,4.36,broken clouds
8,Ust-Omchug,RU,61.15,149.6333,-7.53,99,100,2.53,overcast clouds
9,Lompoc,US,34.6391,-120.4579,45.93,87,100,21.99,overcast clouds
10,Georgetown,MY,5.4112,100.3354,82.33,88,40,4.61,thunderstorm
11,Asau,RO,46.4333,26.4,36.95,52,100,5.12,overcast clouds
12,Kano,NG,12.0001,8.5167,93.09,11,100,13.8,haze
13,Ballina,AU,-28.8667,153.5667,66.02,99,59,7.67,broken clouds
14,Bluff,NZ,-46.6,168.3333,50.81,88,6,3.65,clear sky
15,Ashqelon,IL,31.6693,34.5715,57.81,59,63,17.22,broken clouds
16,Rubiataba,BR,-15.1644,-49.8033,73.58,85,98,3.02,overcast clouds
17,Bethel,US,41.3712,-73.414,26.01,61,0,13.8,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,48.31,61,20,37.98,few clouds
19,Yar-Sale,RU,66.8333,70.8333,3.87,99,98,6.38,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,50.49,99,12,2.3,few clouds
21,Kaitangata,NZ,-46.2817,169.8464,51.85,95,17,5.23,few clouds
22,Nikolskoye,RU,59.7035,30.7861,39.09,96,71,3.56,broken clouds
23,Atuona,PF,-9.8,-139.0333,78.01,74,100,15.01,overcast clouds
24,Busselton,AU,-33.65,115.3333,68.67,86,0,2.59,clear sky
25,Upata,VE,8.0086,-62.3989,74.23,77,100,7.65,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,77.29,88,100,9.22,light rain
27,Camacha,PT,33.0833,-16.3333,62.02,63,40,12.66,scattered clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,68.88,67,2,18.01,clear sky
29,Bundaberg,AU,-24.85,152.35,68.29,88,40,8.05,scattered clouds
30,Jamestown,US,42.097,-79.2353,17.19,57,100,18.41,overcast clouds
31,Hambantota,LK,6.1241,81.1185,89.94,66,40,6.91,scattered clouds
32,Verkhnyaya Inta,RU,65.9811,60.3094,18.93,83,91,8.97,overcast clouds
33,Honningsvag,NO,70.9821,25.9704,35.24,81,100,18.68,overcast clouds
34,Saldanha,ZA,-33.0117,17.9442,63.79,67,100,18.23,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,75.54,98,10,0.56,clear sky
36,East London,ZA,-33.0153,27.9116,72.54,83,0,13.8,clear sky
