City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Faanui,PF,81.95,scattered clouds,-16.4833,-151.75,
7,Georgetown,MY,82.33,few clouds,5.4112,100.3354,
15,Kavieng,PG,82.24,overcast clouds,-2.5744,150.7967,
19,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,
20,Kapaa,US,80.58,few clouds,22.0752,-159.319,
24,Kavaratti,IN,82.02,clear sky,10.5669,72.642,
29,Rikitea,PF,79.27,broken clouds,-23.1203,-134.9692,
37,Atuona,PF,78.66,clear sky,-9.8,-139.0333,
39,Hithadhoo,MV,81.54,clear sky,-0.6,73.0833,
40,Port Alfred,ZA,79.09,broken clouds,-33.5906,26.891,
42,Butaritari,KI,81.12,light rain,3.0707,172.7902,
43,Santa Maria,BR,73.09,overcast clouds,-29.6842,-53.8069,
45,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
48,Half Moon Bay,US,73.06,clear sky,37.4636,-122.4286,
50,Morondava,MG,79.23,moderate rain,-20.2833,44.2833,
51,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,
53,Caraballeda,VE,79.97,broken clouds,10.6112,-66.8522,
54,Lompoc,US,76.01,clear sky,34.6391,-120.4579,
56,Maragogi,BR,80.47,overcast clouds,-9.0122,-35.2225,
59,Mahebourg,MU,80.26,light rain,-20.4081,57.7,
63,Ruwi,OM,80.2,clear sky,23.5996,58.5507,
67,Villa Carlos Paz,AR,77.4,scattered clouds,-31.4241,-64.4978,
71,Adrar,MR,71.83,clear sky,20.5022,-10.0711,
72,Itarema,BR,77.81,light rain,-2.9248,-39.9167,
75,Hilo,US,81.25,overcast clouds,19.7297,-155.09,
76,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,
77,Arlit,NE,74.32,clear sky,18.7369,7.3853,
81,Canutama,BR,78.64,light rain,-6.5339,-64.3831,
84,Vaini,TO,82.56,light intensity drizzle,-21.2,-175.2,
86,Pisco,PE,78.85,clear sky,-13.7,-76.2167,
87,Oussouye,SN,74.23,few clouds,12.485,-16.5469,
89,Kahului,US,84.22,few clouds,20.8947,-156.47,
90,San Matias,BO,73.47,overcast clouds,-16.3667,-58.4,
92,Vallenar,CL,81.97,clear sky,-28.5708,-70.7581,
94,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,
95,Parana,AR,80.56,clear sky,-31.732,-60.5238,
96,Padang,ID,77.68,overcast clouds,-0.9492,100.3543,
99,Kruisfontein,ZA,77.88,broken clouds,-34.0033,24.7314,
102,Port Elizabeth,ZA,80.1,scattered clouds,-33.918,25.5701,
103,Sechura,PE,82.76,broken clouds,-5.5569,-80.8222,
112,Grand-Santi,GF,76.53,broken clouds,4.25,-54.3833,
113,Sambava,MG,76.08,light rain,-14.2667,50.1667,
116,Jardim,BR,76.57,light rain,-21.4803,-56.1381,
119,Moyale,KE,75.2,few clouds,3.5167,39.0584,
121,Katobu,ID,75.9,overcast clouds,-4.9408,122.5276,
123,Sao Filipe,CV,75.38,few clouds,14.8961,-24.4956,
124,Esmeralda,CU,89.37,broken clouds,21.8525,-78.1169,
125,Tabou,CI,79.95,overcast clouds,4.423,-7.3528,
127,Gigmoto,PH,77.31,moderate rain,13.7796,124.39,
129,Victoria,HK,73.33,few clouds,22.2855,114.1577,
131,Cidreira,BR,70.86,scattered clouds,-30.1811,-50.2056,
132,La Asuncion,VE,79.14,few clouds,11.0333,-63.8628,
134,Mayumba,GA,79.12,moderate rain,-3.432,10.6554,
135,Emerald,AU,70.34,few clouds,-23.5333,148.1667,
138,East London,ZA,79.07,broken clouds,-33.0153,27.9116,
145,Iaciara,BR,78.94,overcast clouds,-14.0958,-46.6317,
151,Bubaque,GW,75.97,scattered clouds,11.2833,-15.8333,
153,Matale,LK,70.12,overcast clouds,7.4721,80.6234,
154,Tessalit,ML,75.85,clear sky,20.1986,1.0114,
156,Laguna,US,73.02,clear sky,38.421,-121.4238,
158,Keetmanshoop,,80.98,overcast clouds,-26.5833,18.1333,
160,Arraial Do Cabo,BR,80.46,few clouds,-22.9661,-42.0278,
162,Lazaro Cardenas,MX,81.45,clear sky,17.9583,-102.2,
163,Sinnamary,GF,77.36,broken clouds,5.3833,-52.95,
167,Vao,NC,79.07,overcast clouds,-22.6667,167.4833,
169,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,
177,Totness,SR,79.18,broken clouds,5.8833,-56.3167,
180,Irimbo,MX,73.99,clear sky,19.7,-100.4792,
189,Lethem,GY,88.79,overcast clouds,3.3803,-59.7968,
195,Tandalti,SD,75.92,few clouds,13.0167,31.8667,
196,Lorengau,PG,82.04,overcast clouds,-2.0226,147.2712,
197,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,
201,Sabla,NG,86.04,broken clouds,12.7525,4.7077,
204,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,
212,Souillac,MU,78.67,light rain,-20.5167,57.5167,
214,San Rafael,AR,83.25,clear sky,-34.6177,-68.3301,
215,Ahipara,NZ,71.24,overcast clouds,-35.1667,173.1667,
218,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,
219,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,
221,Salina Cruz,MX,78.06,clear sky,16.1667,-95.2,
223,Nampula,MZ,70.56,heavy intensity rain,-15.1165,39.2666,
226,Okakarara,,70.3,broken clouds,-20.5833,17.4333,
228,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,
230,Banda Aceh,ID,78.66,broken clouds,5.5577,95.3222,
233,Soyo,AO,80.33,overcast clouds,-6.1349,12.3689,
234,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,
235,Poya,NC,80.73,clear sky,-21.35,165.15,
239,Eydhafushi,MV,81.93,few clouds,5.1033,73.0708,
241,Mabaruma,GY,76.91,broken clouds,8.2,-59.7833,
243,Gambela,ET,83.82,overcast clouds,8.25,34.5833,
